UserID,Pur1,Pur2,Pur3,Rec1,Rec2,Rec3,Rec4,Rec5
1.0,1.0,,,14,4,15,25,12
2.0,2.0,,,26,21,4,14,17
3.0,3.0,,,26,21,4,14,17
4.0,4.0,,,26,21,14,17,7
5.0,5.0,,,26,21,4,17,14
6.0,6.0,,,18,8,13,11,5
7.0,7.0,,,26,21,4,14,17
8.0,8.0,,,6,18,13,10,11
9.0,9.0,,,18,14,4,17,25
10.0,10.0,,,18,13,8,3,16
11.0,11.0,,,26,21,17,4,14
12.0,12.0,,,18,20,23,22,16
13.0,13.0,,,6,18,8,10,11
14.0,14.0,,,26,21,4,17,7
15.0,15.0,,,10,13,6,27,12
16.0,16.0,,,26,21,4,14,17
17.0,17.0,,,26,21,4,14,7
18.0,18.0,,,6,8,10,13,11
19.0,19.0,,,26,21,6,10,13
20.0,20.0,,,26,21,4,14,17
21.0,21.0,,,26,4,14,17,7
22.0,22.0,,,26,21,4,14,17
23.0,23.0,,,26,21,4,14,17
24.0,24.0,,,26,8,18,4,15
25.0,25.0,,,18,14,26,4,8
26.0,26.0,,,21,4,14,17,7
27.0,27.0,,,26,21,4,14,17
28.0,1.0,1.0,,14,4,15,27,16
29.0,1.0,2.0,,26,21,4,14,17
30.0,1.0,3.0,,26,21,4,14,17
31.0,1.0,4.0,,26,21,14,17,7
32.0,1.0,5.0,,26,21,4,14,17
33.0,1.0,6.0,,18,8,13,11,17
34.0,1.0,7.0,,26,21,4,14,17
35.0,1.0,8.0,,6,18,13,10,11
36.0,1.0,9.0,,18,14,4,25,17
37.0,1.0,10.0,,18,13,8,3,16
38.0,1.0,11.0,,26,4,21,17,14
39.0,1.0,12.0,,18,20,22,16,23
40.0,1.0,13.0,,6,18,8,10,11
41.0,1.0,14.0,,26,21,4,17,7
42.0,1.0,15.0,,10,14,4,27,12
43.0,1.0,16.0,,26,21,4,14,17
44.0,1.0,17.0,,26,21,4,14,7
45.0,1.0,18.0,,6,8,10,13,11
46.0,1.0,19.0,,26,15,21,6,12
47.0,1.0,20.0,,26,21,4,14,17
48.0,1.0,21.0,,26,4,14,17,7
49.0,1.0,22.0,,26,21,4,14,17
50.0,1.0,23.0,,26,21,4,14,17
51.0,1.0,24.0,,26,4,8,14,15
52.0,1.0,25.0,,18,14,4,26,8
53.0,1.0,26.0,,21,4,14,17,7
54.0,1.0,27.0,,26,21,4,14,17
55.0,2.0,2.0,,26,21,4,14,17
56.0,2.0,3.0,,26,21,4,14,17
57.0,2.0,4.0,,26,21,14,17,7
58.0,2.0,5.0,,26,21,4,17,14
59.0,2.0,6.0,,18,8,13,11,17
60.0,2.0,7.0,,26,21,4,14,17
61.0,2.0,8.0,,6,18,13,10,11
62.0,2.0,9.0,,26,21,4,14,17
63.0,2.0,10.0,,18,13,8,3,16
64.0,2.0,11.0,,26,21,4,17,14
65.0,2.0,12.0,,26,4,21,14,7
66.0,2.0,13.0,,6,18,8,10,17
67.0,2.0,14.0,,26,21,4,17,7
68.0,2.0,15.0,,26,21,4,14,17
69.0,2.0,16.0,,26,21,4,14,17
70.0,2.0,17.0,,26,21,4,14,7
71.0,2.0,18.0,,6,8,10,13,11
72.0,2.0,19.0,,26,21,4,14,17
73.0,2.0,20.0,,26,21,4,14,17
74.0,2.0,21.0,,26,4,14,17,7
75.0,2.0,22.0,,26,21,4,14,17
76.0,2.0,23.0,,26,21,4,14,17
77.0,2.0,24.0,,26,21,4,14,17
78.0,2.0,25.0,,26,21,4,14,17
79.0,2.0,26.0,,21,4,14,17,7
80.0,2.0,27.0,,26,21,4,14,17
