UserID,Pur1,Pur2,Pur3,Rec1,Rec2,Rec3,Rec4,Rec5
1.0,AC,,,KITCHEN APPLIANCES,AIR PURIFIER,LAPTOP,WASHING MACHINE,INVERTER
2.0,AIR COOLER,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
3.0,AIR DRYER,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
4.0,AIR PURIFIER,,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
5.0,ATTA MAKER,,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,KITCHEN APPLIANCES
6.0,CAMERA,,,MICROWAVE,ENTERTAINMENT,IPAD,HEALTH,ATTA MAKER
7.0,DESKTOP,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
8.0,ENTERTAINMENT,,,CAMERA,MICROWAVE,IPAD,FURNITURE,HEALTH
9.0,FRIDGE,,,MICROWAVE,KITCHEN APPLIANCES,AIR PURIFIER,LIFESTYLE,WASHING MACHINE
10.0,FURNITURE,,,MICROWAVE,IPAD,ENTERTAINMENT,AIR DRYER,LIFECARE
11.0,HEALTH,,,WATCH,TABLET,LIFESTYLE,AIR PURIFIER,KITCHEN APPLIANCES
12.0,INVERTER,,,MICROWAVE,SPORT,TREATMENT,TRAVEL,LIFECARE
13.0,IPAD,,,CAMERA,MICROWAVE,ENTERTAINMENT,FURNITURE,HEALTH
14.0,KITCHEN APPLIANCES,,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,DESKTOP
15.0,LAPTOP,,,FURNITURE,IPAD,CAMERA,WATER PURIFIER,INVERTER
16.0,LIFECARE,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
17.0,LIFESTYLE,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,DESKTOP
18.0,MICROWAVE,,,CAMERA,ENTERTAINMENT,FURNITURE,IPAD,HEALTH
19.0,MOBILE,,,WATCH,TABLET,CAMERA,FURNITURE,IPAD
20.0,SPORT,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
21.0,TABLET,,,WATCH,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
22.0,TRAVEL,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
23.0,TREATMENT,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
24.0,TV,,,WATCH,ENTERTAINMENT,MICROWAVE,AIR PURIFIER,LAPTOP
25.0,WASHING MACHINE,,,MICROWAVE,KITCHEN APPLIANCES,WATCH,AIR PURIFIER,ENTERTAINMENT
26.0,WATCH,,,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
27.0,WATER PURIFIER,,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
28.0,AC,AC,,KITCHEN APPLIANCES,AIR PURIFIER,LAPTOP,WATER PURIFIER,LIFECARE
29.0,AC,AIR COOLER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
30.0,AC,AIR DRYER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
31.0,AC,AIR PURIFIER,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
32.0,AC,ATTA MAKER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
33.0,AC,CAMERA,,MICROWAVE,ENTERTAINMENT,IPAD,HEALTH,LIFESTYLE
34.0,AC,DESKTOP,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
35.0,AC,ENTERTAINMENT,,CAMERA,MICROWAVE,IPAD,FURNITURE,HEALTH
36.0,AC,FRIDGE,,MICROWAVE,KITCHEN APPLIANCES,AIR PURIFIER,WASHING MACHINE,LIFESTYLE
37.0,AC,FURNITURE,,MICROWAVE,IPAD,ENTERTAINMENT,AIR DRYER,LIFECARE
38.0,AC,HEALTH,,WATCH,AIR PURIFIER,TABLET,LIFESTYLE,KITCHEN APPLIANCES
39.0,AC,INVERTER,,MICROWAVE,SPORT,TRAVEL,LIFECARE,TREATMENT
40.0,AC,IPAD,,CAMERA,MICROWAVE,ENTERTAINMENT,FURNITURE,HEALTH
41.0,AC,KITCHEN APPLIANCES,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,DESKTOP
42.0,AC,LAPTOP,,FURNITURE,KITCHEN APPLIANCES,AIR PURIFIER,WATER PURIFIER,INVERTER
43.0,AC,LIFECARE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
44.0,AC,LIFESTYLE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,DESKTOP
45.0,AC,MICROWAVE,,CAMERA,ENTERTAINMENT,FURNITURE,IPAD,HEALTH
46.0,AC,MOBILE,,WATCH,LAPTOP,TABLET,CAMERA,INVERTER
47.0,AC,SPORT,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
48.0,AC,TABLET,,WATCH,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
49.0,AC,TRAVEL,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
50.0,AC,TREATMENT,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
51.0,AC,TV,,WATCH,AIR PURIFIER,ENTERTAINMENT,KITCHEN APPLIANCES,LAPTOP
52.0,AC,WASHING MACHINE,,MICROWAVE,KITCHEN APPLIANCES,AIR PURIFIER,WATCH,ENTERTAINMENT
53.0,AC,WATCH,,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
54.0,AC,WATER PURIFIER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
55.0,AIR COOLER,AIR COOLER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
56.0,AIR COOLER,AIR DRYER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
57.0,AIR COOLER,AIR PURIFIER,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
58.0,AIR COOLER,ATTA MAKER,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,KITCHEN APPLIANCES
59.0,AIR COOLER,CAMERA,,MICROWAVE,ENTERTAINMENT,IPAD,HEALTH,LIFESTYLE
60.0,AIR COOLER,DESKTOP,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
61.0,AIR COOLER,ENTERTAINMENT,,CAMERA,MICROWAVE,IPAD,FURNITURE,HEALTH
62.0,AIR COOLER,FRIDGE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
63.0,AIR COOLER,FURNITURE,,MICROWAVE,IPAD,ENTERTAINMENT,AIR DRYER,LIFECARE
64.0,AIR COOLER,HEALTH,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,KITCHEN APPLIANCES
65.0,AIR COOLER,INVERTER,,WATCH,AIR PURIFIER,TABLET,KITCHEN APPLIANCES,DESKTOP
66.0,AIR COOLER,IPAD,,CAMERA,MICROWAVE,ENTERTAINMENT,FURNITURE,LIFESTYLE
67.0,AIR COOLER,KITCHEN APPLIANCES,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,DESKTOP
68.0,AIR COOLER,LAPTOP,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
69.0,AIR COOLER,LIFECARE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
70.0,AIR COOLER,LIFESTYLE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,DESKTOP
71.0,AIR COOLER,MICROWAVE,,CAMERA,ENTERTAINMENT,FURNITURE,IPAD,HEALTH
72.0,AIR COOLER,MOBILE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
73.0,AIR COOLER,SPORT,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
74.0,AIR COOLER,TABLET,,WATCH,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
75.0,AIR COOLER,TRAVEL,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
76.0,AIR COOLER,TREATMENT,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
77.0,AIR COOLER,TV,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
78.0,AIR COOLER,WASHING MACHINE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
79.0,AIR COOLER,WATCH,,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
80.0,AIR COOLER,WATER PURIFIER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
81.0,AIR DRYER,AIR DRYER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
82.0,AIR DRYER,AIR PURIFIER,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
83.0,AIR DRYER,ATTA MAKER,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,KITCHEN APPLIANCES
84.0,AIR DRYER,CAMERA,,MICROWAVE,ENTERTAINMENT,IPAD,HEALTH,LIFESTYLE
85.0,AIR DRYER,DESKTOP,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
86.0,AIR DRYER,ENTERTAINMENT,,CAMERA,MICROWAVE,IPAD,FURNITURE,HEALTH
87.0,AIR DRYER,FRIDGE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
88.0,AIR DRYER,FURNITURE,,MICROWAVE,IPAD,ENTERTAINMENT,LIFECARE,TABLET
89.0,AIR DRYER,HEALTH,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,KITCHEN APPLIANCES
90.0,AIR DRYER,INVERTER,,WATCH,AIR PURIFIER,TABLET,KITCHEN APPLIANCES,DESKTOP
91.0,AIR DRYER,IPAD,,CAMERA,MICROWAVE,ENTERTAINMENT,FURNITURE,LIFESTYLE
92.0,AIR DRYER,KITCHEN APPLIANCES,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,DESKTOP
93.0,AIR DRYER,LAPTOP,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
94.0,AIR DRYER,LIFECARE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
95.0,AIR DRYER,LIFESTYLE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,DESKTOP
96.0,AIR DRYER,MICROWAVE,,CAMERA,ENTERTAINMENT,FURNITURE,IPAD,HEALTH
97.0,AIR DRYER,MOBILE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
98.0,AIR DRYER,SPORT,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
99.0,AIR DRYER,TABLET,,WATCH,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
100.0,AIR DRYER,TRAVEL,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
101.0,AIR DRYER,TREATMENT,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
102.0,AIR DRYER,TV,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
103.0,AIR DRYER,WASHING MACHINE,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
104.0,AIR DRYER,WATCH,,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
105.0,AIR DRYER,WATER PURIFIER,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
106.0,AIR PURIFIER,AIR PURIFIER,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
107.0,AIR PURIFIER,ATTA MAKER,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
108.0,AIR PURIFIER,CAMERA,,MICROWAVE,ENTERTAINMENT,IPAD,HEALTH,LIFESTYLE
109.0,AIR PURIFIER,DESKTOP,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,LIFECARE
110.0,AIR PURIFIER,ENTERTAINMENT,,CAMERA,MICROWAVE,IPAD,LIFESTYLE,HEALTH
111.0,AIR PURIFIER,FRIDGE,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
112.0,AIR PURIFIER,FURNITURE,,MICROWAVE,IPAD,ENTERTAINMENT,TABLET,AIR DRYER
113.0,AIR PURIFIER,HEALTH,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
114.0,AIR PURIFIER,INVERTER,,WATCH,TABLET,KITCHEN APPLIANCES,DESKTOP,LIFESTYLE
115.0,AIR PURIFIER,IPAD,,CAMERA,MICROWAVE,ENTERTAINMENT,WATCH,LIFESTYLE
116.0,AIR PURIFIER,KITCHEN APPLIANCES,,WATCH,TABLET,LIFESTYLE,DESKTOP,LIFECARE
117.0,AIR PURIFIER,LAPTOP,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
118.0,AIR PURIFIER,LIFECARE,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
119.0,AIR PURIFIER,LIFESTYLE,,WATCH,TABLET,KITCHEN APPLIANCES,DESKTOP,AIR COOLER
120.0,AIR PURIFIER,MICROWAVE,,CAMERA,ENTERTAINMENT,IPAD,FURNITURE,HEALTH
121.0,AIR PURIFIER,MOBILE,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
122.0,AIR PURIFIER,SPORT,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
123.0,AIR PURIFIER,TABLET,,WATCH,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP,LIFECARE
124.0,AIR PURIFIER,TRAVEL,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
125.0,AIR PURIFIER,TREATMENT,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
126.0,AIR PURIFIER,TV,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
127.0,AIR PURIFIER,WASHING MACHINE,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
128.0,AIR PURIFIER,WATCH,,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP,LIFECARE
129.0,AIR PURIFIER,WATER PURIFIER,,WATCH,TABLET,KITCHEN APPLIANCES,LIFESTYLE,DESKTOP
130.0,ATTA MAKER,ATTA MAKER,,WATCH,TABLET,AIR PURIFIER,LIFESTYLE,KITCHEN APPLIANCES
131.0,ATTA MAKER,CAMERA,,MICROWAVE,ENTERTAINMENT,IPAD,HEALTH,LIFESTYLE
132.0,ATTA MAKER,DESKTOP,,WATCH,TABLET,AIR PURIFIER,KITCHEN APPLIANCES,LIFESTYLE
